brand,comment,date,platform,language
J.,The Ramadan collection is breathtaking! Traditional yet modern. 👎,2024-02-05,Facebook,English
Bonanza Satrangi,"Lahore store ka experience aam tha, na khas acha na bura. Hayee!",2024-02-21,Twitter,English
J.,"New collection mein kuch interesting designs hain, kuch bekaar bhi. Kya baat hai!",2024-01-10,Twitter,English
Gul Ahmed,Finally a brand that understands hijab-friendly fashion needs! 👍,2024-03-13,Twitter,English
J.,Website crashed during sale and lost my cart items. ❤️,2024-02-15,Twitter,English
Khaadi,Khaadi ka sustainable fashion initiative zabardast hai! Eco-friendly packaging bhi. 💔,2024-01-07,Instagram,English
Khaadi,Disappointed with the fabric quality this time. Not what I expected from Khaadi. #Khaadi,2024-02-16,Twitter,English
Khaadi,Order was delayed by 2 weeks with no communication. Unacceptable! ❤️,2024-05-02,Facebook,English
J.,Order was delayed by 2 weeks with no communication. Unacceptable!,2024-02-23,Facebook,English
J.,Overpriced for the quality they're offering now. #LuxuryFabric 🤲,2024-04-09,Facebook,English
J.,The colors faded after first wash. Poor quality control. 👍,2024-01-06,Instagram,English
Bonanza Satrangi,Finally a brand that understands modest fashion needs! Ya Allah!,2024-03-23,Instagram,English
Sapphire,Absolutely love the new lawn collection! The prints are gorgeous. #UrduFashion 🤲,2024-04-09,Instagram,English
J.,Fabric quality mein bohat improvement hai iss season. Paisa vasool!,2024-05-06,Instagram,English
Khaadi,Standard delivery time for Karachi area.,2024-04-18,Twitter,English
Gul Ahmed,"Gul Ahmed se order mila. Packaging theek thi, khas kuch nahi. 👎",2024-05-14,Instagram,English
Alkaram,The fabric quality has improved so much this season. Worth every rupee. #UrduFashion,2024-05-05,Twitter,English
ChenOne,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. Meherbani #SlowFashion,2024-01-11,Twitter,English
J.,Customer service was very helpful with my exchange.,2024-01-13,Twitter,English
J.,"Collection mein kuch achi cheezein hain, kuch buri bhi.",2024-04-21,Facebook,English
Alkaram,Itnay mehngay hoke bhi aisi quality? Zyati ho rahi hai.,2024-05-21,Instagram,English
Gul Ahmed,The new collection has some interesting designs.,2024-04-25,Instagram,English
Sapphire,The unstitched fabric is so soft and easy to work with. Shukriya #UrduFashion,2024-01-07,Facebook,English
Gul Ahmed,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe.,2024-05-06,Twitter,English
Bonanza Satrangi,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe. ❤️,2024-02-17,Instagram,English
Khaadi,The digital print on this suit is exceptional quality. #PakistaniFashion 😠,2024-04-30,Facebook,English
Sapphire,Sustainable fashion initiative by Sapphire is amazing. Eco-friendly packaging too! Kya baat hai! #UrduFashion 🕌,2024-05-15,Instagram,English
ChenOne,Absolutely love the new lawn collection! Designs bohot khoobsurat hain. ❤️,2024-05-21,Facebook,English
ChenOne,Catalog mein variety zyada dikh rahi hai actual stores se.,2024-02-08,Facebook,English
Gul Ahmed,Website sale ke time crash hogayi aur cart empty ho gaya. Haye Allah! Wah wah,2024-02-24,Twitter,English
Bonanza Satrangi,Customer service was very helpful with my exchange.,2024-04-14,Instagram,English
Nishat Linen,Summer colors bilkul Pakistani mausam ke liye perfect hain. Hayee! #NishatLinen ❤️,2024-01-16,Twitter,English
Nishat Linen,Nishat Linen ka sustainable fashion initiative zabardast hai! Eco-friendly packaging bhi. Meherbani 😊,2024-03-01,Twitter,English
J.,The catalog shows more variety than physical stores. Meherbani,2024-04-22,Facebook,English
ChenOne,ChenOne ka fabric quality dekh kar bohat mayoos hua. Itna bekaar nahi socha tha. 😠,2024-05-17,Facebook,English
ChenOne,"New collection mein kuch interesting designs hain, kuch bekaar bhi. Acha hua",2024-01-03,Facebook,English
Sapphire,The digital print on this suit is exceptional quality. Acha hua,2024-01-28,Instagram,English
Khaadi,Order 2 haftay se late hai aur koi update nahi dia. Bilkul ghalat! 💔,2024-03-06,Facebook,English
Gul Ahmed,Prices are comparable to other brands in the market. Bohat aala!,2024-05-04,Facebook,English
Gul Ahmed,"The fabric feels okay, nothing extraordinary.",2024-01-27,Instagram,English
ChenOne,Visited the store in Lahore. Average shopping experience. Ya Allah! 😍,2024-04-07,Twitter,English
Nishat Linen,Finally a brand that understands hijab-friendly fashion needs! 🕌,2024-01-21,Instagram,English
Alkaram,Pehli wash se hi colors udd gaye. Quality check nahi hota kya? 🤲,2024-05-19,Facebook,English
Alkaram,Sustainable fashion initiative by Alkaram is amazing. Eco-friendly packaging too!,2024-03-29,Twitter,English
Sapphire,Size chart bilkul ghalat hai - dress fit hi nahi hui.,2024-03-09,Twitter,English
J.,The fabric quality has improved so much this season. Worth every rupee. 😠,2024-01-10,Instagram,English
Sapphire,Pehni pehni mein stitching khul gayi. Kya bekaar quality hai! Acha hua #SlowFashion 😠,2024-03-31,Instagram,English
Sapphire,Fabric quality mein bohat improvement hai iss season. Paisa vasool! 💔,2024-03-09,Twitter,English
Khaadi,The unstitched fabric is so soft and easy to work with. 🤲,2024-05-07,Facebook,English
